max,test 0,test 1,test 2,test 3,test 4,test 5,test 6,test 7,test 8,test 9,average
85.0,85.0,85.0,85.0,82.0,85.0,85.0,85.0,85.0,85.0,85.0,84.7
85.0,83.0,82.0,85.0,83.0,85.0,85.0,85.0,85.0,85.0,85.0,84.3
86.0,84.0,81.0,84.0,83.0,84.0,84.0,84.0,85.0,85.0,86.0,84.0
86.0,83.0,86.0,86.0,84.0,86.0,83.0,86.0,86.0,86.0,86.0,85.2
86.0,84.0,84.0,83.0,86.0,82.0,86.0,86.0,86.0,83.0,84.0,84.4
86.0,83.0,83.0,83.0,83.0,83.0,82.0,86.0,83.0,85.0,86.0,83.7
85.0,83.0,82.0,83.0,83.0,85.0,85.0,83.0,85.0,85.0,85.0,83.9
86.0,81.0,81.0,85.0,85.0,85.0,85.0,82.0,83.0,85.0,86.0,83.8
85.0,82.0,82.0,85.0,82.0,83.0,84.0,81.0,83.0,83.0,83.0,82.8
86.0,82.0,86.0,86.0,82.0,86.0,86.0,86.0,86.0,86.0,86.0,85.2
